security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
GS,Finance,Financial - Investment Bank,45__1,45,1.0,1. p999999_trade_value,1700000.0,1700000.0,0.0,1.0,0.0,0.55,1. ABOVE BASELINE,0.0,1.0,0.0
GS,Finance,Financial - Investment Bank,45__1,45,1.0,3. p9999_trade_value,1012500.0,740000.0,2.0,3.0,0.6666666666666666,0.55,1. ABOVE BASELINE,2.0,4.0,0.5
GS,Finance,Financial - Investment Bank,45__1,45,1.0,4. p999_trade_value,693450.0,258000.0,21.0,32.0,0.65625,0.55,1. ABOVE BASELINE,23.0,36.0,0.6388888888888888
GS,Finance,Financial - Investment Bank,45__1,45,1.0,5. p99_trade_value,254720.00000000003,66591.0,157.0,315.0,0.4984126984126984,0.55,2. BELOW BASELINE,180.0,351.0,0.5128205128205128
GS,Finance,Financial - Investment Bank,45__1,45,1.0,6. p95_trade_value,66300.0,23800.0,755.0,1402.0,0.5385164051355207,0.55,2. BELOW BASELINE,935.0,1753.0,0.5333713633770679
GS,Finance,Financial - Investment Bank,45__1,45,1.0,7. p90_trade_value,23790.0,15405.000000000002,942.0,1754.0,0.5370581527936146,0.55,2. BELOW BASELINE,1877.0,3507.0,0.5352152837182778
GS,Finance,Financial - Investment Bank,45__1,45,1.0,8. p75_trade_value,15400.0,8400.0,2831.0,5268.0,0.5373955960516325,0.55,2. BELOW BASELINE,4708.0,8775.0,0.5365242165242166
JPM,Finance,Financial - Investment Bank,45__1,45,1.0,1. p999999_trade_value,2359668.0,2359668.0,1.0,1.0,1.0,0.55,2. BELOW BASELINE,1.0,1.0,1.0
JPM,Finance,Financial - Investment Bank,45__1,45,1.0,3. p9999_trade_value,1283765.0,1168800.0,1.0,2.0,0.5,0.55,2. BELOW BASELINE,2.0,3.0,0.6666666666666666
JPM,Finance,Financial - Investment Bank,45__1,45,1.0,4. p999_trade_value,688965.0,238500.0,18.0,27.0,0.6666666666666666,0.55,2. BELOW BASELINE,20.0,30.0,0.6666666666666666
JPM,Finance,Financial - Investment Bank,45__1,45,1.0,5. p99_trade_value,228000.0,63000.0,154.0,263.0,0.5855513307984791,0.55,2. BELOW BASELINE,174.0,293.0,0.5938566552901023
JPM,Finance,Financial - Investment Bank,45__1,45,1.0,6. p95_trade_value,62752.0,24000.0,690.0,1163.0,0.5932932072227,0.55,2. BELOW BASELINE,864.0,1456.0,0.5934065934065934
JPM,Finance,Financial - Investment Bank,45__1,45,1.0,7. p90_trade_value,23999.0,15345.000000000002,824.0,1451.0,0.5678842177808407,0.55,2. BELOW BASELINE,1688.0,2907.0,0.5806673546611627
JPM,Finance,Financial - Investment Bank,45__1,45,1.0,8. p75_trade_value,15335.999999999998,8432.0,2423.0,4361.0,0.5556065122678285,0.55,2. BELOW BASELINE,4111.0,7268.0,0.5656301596037424
MARA,Finance,Financial - Miscellaneous Services,45__1,45,1.0,1. p999999_trade_value,1245075.0,1245075.0,0.0,1.0,0.0,0.55,1. ABOVE BASELINE,0.0,1.0,0.0
MARA,Finance,Financial - Miscellaneous Services,45__1,45,1.0,3. p9999_trade_value,1067580.0,1018470.0000000001,3.0,4.0,0.75,0.55,1. ABOVE BASELINE,3.0,5.0,0.6
MARA,Finance,Financial - Miscellaneous Services,45__1,45,1.0,4. p999_trade_value,996000.0,409188.0,18.0,38.0,0.47368421052631576,0.55,2. BELOW BASELINE,21.0,43.0,0.4883720930232558
MARA,Finance,Financial - Miscellaneous Services,45__1,45,1.0,5. p99_trade_value,408944.0,68850.0,166.0,379.0,0.43799472295514513,0.55,2. BELOW BASELINE,187.0,422.0,0.4431279620853081
MARA,Finance,Financial - Miscellaneous Services,45__1,45,1.0,6. p95_trade_value,68839.0,22999.999999999996,927.0,1685.0,0.5501483679525223,0.55,2. BELOW BASELINE,1114.0,2107.0,0.5287138111058377
MARA,Finance,Financial - Miscellaneous Services,45__1,45,1.0,7. p90_trade_value,22987.0,14880.000000000002,1172.0,2109.0,0.5557136083451872,0.55,2. BELOW BASELINE,2286.0,4216.0,0.5422201138519924
MARA,Finance,Financial - Miscellaneous Services,45__1,45,1.0,8. p75_trade_value,14879.999999999998,8160.000000000001,3364.0,6308.0,0.533291058972733,0.55,2. BELOW BASELINE,5650.0,10524.0,0.5368681109844166
SOFI,Finance,Financial - Miscellaneous Services,45__2,45,2.0,1. p999999_trade_value,4015544.0,4015544.0,0.0,2.0,0.0,0.55,2. BELOW BASELINE,0.0,2.0,0.0
SOFI,Finance,Financial - Miscellaneous Services,45__2,45,2.0,4. p999_trade_value,1968780.0,238928.00000000003,5.0,16.0,0.3125,0.55,2. BELOW BASELINE,5.0,18.0,0.2777777777777778
SOFI,Finance,Financial - Miscellaneous Services,45__2,45,2.0,5. p99_trade_value,215496.0,45967.0,92.0,161.0,0.5714285714285714,0.55,2. BELOW BASELINE,97.0,179.0,0.5418994413407822
SOFI,Finance,Financial - Miscellaneous Services,45__2,45,2.0,6. p95_trade_value,45908.00000000001,20696.0,442.0,716.0,0.61731843575419,0.55,2. BELOW BASELINE,539.0,895.0,0.6022346368715084
