security,sector,industry,num_trades,trade_volume_bin,trade_volume_bin_rank,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value,cluster,final_cluster
A,Medical,Medical - Products,585,30,2,30696.0,144761.28,306042.05,352716.9,357384.39,357851.14,2.0,30__2
AA,Industrial Products,Metal Products - Distribution,1648,30,2,30156.0,106710.0,840000.0,840000.0,840000.0,840000.0,0.0,30__0
AAL,Transportation,Transportation - Airline,4099,35,2,23839.5,87527.72,816648.0,1012142.4,1127214.24,1138721.42,1.0,35__1
AAOI,Computer and Technology,Electronics - Semiconductors,1828,35,2,26779.25,51813.0,276390.22,365304.61,382836.96,384590.2,0.0,35__0
AAON,Construction,Building Products - Air Conditioner and Heating,59,20,2,49727.5,61050.0,62355.0,62485.5,62498.55,62499.85,0.0,20__0
AAP,Retail-Wholesale,Automotive - Retail and Wholesale - Parts,1663,30,2,24192.4,67657.08,238815.14,308854.32,321135.43,322363.54,2.0,30__2
AAPL,Computer and Technology,Computer - Micro Computers,437563,55,1,25374.5,64504.56,245915.7,784767.28,1644362.5,2375287.93,0.0,55__0
AB,Finance,Financial - Investment Management,11,10,3,19250.0,21850.0,22435.0,22493.5,22499.35,22499.94,0.0,10__0
ABAT,Computer and Technology,Electronics - Miscellaneous Products,21,15,3,7000.0,7800.0,7980.0,7998.0,7999.8,7999.98,0.0,15__0
ABBV,Medical,Large Cap Pharmaceuticals,7156,40,2,24428.25,71862.5,324134.31,1247121.0,1258712.1,1259871.21,0.0,40__0
ABCL,Medical,Medical - Biomedical and Genetics,3,5,3,6419.0,6683.8,6743.38,6749.34,6749.93,6749.99,0.0,5__0
ABEO,Medical,Medical - Biomedical and Genetics,42,15,3,14520.0,24242.72,27271.47,27574.35,27604.63,27607.66,0.0,15__0
ABG,Retail-Wholesale,Automotive - Retail and Whole Sales,25,15,3,46620.0,56936.0,58793.6,58979.36,58997.94,58999.79,0.0,15__0
ABL,Finance,Insurance - Life Insurance,1,0,3,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0,2.0,0__2
ABM,Business Services,Business - Services,17,10,3,44000.0,120800.0,138080.0,139808.0,139980.8,139998.08,2.0,10__2
ABNB,Consumer Discretionary,Leisure and Recreation Services,9341,40,2,27400.0,118458.0,359936.72,791555.3,1251405.53,1297390.55,0.0,40__0
ABR,Finance,REIT and Equity Trust,259,25,2,72613.5,170644.5,290490.0,312549.0,314754.9,314975.49,2.0,25__2
ABSI,Medical,Medical - Biomedical and Genetics,42,15,3,7956.0,13971.24,16752.02,17030.1,17057.91,17060.69,0.0,15__0
ABT,Medical,Medical - Products,2262,35,2,21399.5,70829.41,397716.17,451669.2,457366.92,457936.69,0.0,35__0
ABUS,Medical,Medical - Biomedical and Genetics,3,5,3,6135.0,6291.0,6326.1,6329.61,6329.96,6330.0,0.0,5__0
ACA,Construction,Building Products - Miscellaneous,11,10,3,60637.5,71887.5,74418.75,74671.88,74697.19,74699.72,0.0,10__0
ACAD,Medical,Medical - Biomedical and Genetics,93,20,2,27958.0,141940.0,151669.0,152641.9,152739.19,152748.92,0.0,20__0
ACB,Medical,Medical - Products,45,15,3,19196.0,21784.72,22957.67,23074.97,23086.7,23087.87,0.0,15__0
ACDC,Oils-Energy,Oil and Gas - Field Services,22,15,3,10845.75,11937.45,12155.75,12177.57,12179.76,12179.98,0.0,15__0
ACGL,Finance,Insurance - Property and Casualty,127,20,2,13828.5,30421.3,50601.15,53093.12,53342.31,53367.23,0.0,20__0
ACHC,Medical,Medical - Hospital,178,25,2,34262.0,101304.4,193904.16,198670.42,199147.04,199194.7,0.0,25__0
ACHR,Aerospace,Aerospace - Defense,4888,35,2,16549.5,34716.48,86737.91,120027.83,137692.28,139458.73,0.0,35__0
ACI,Consumer Staples,Consumer Products - Staples,410,25,2,38983.0,100000.0,310000.0,310000.0,310000.0,310000.0,0.0,25__0
ACIC,Finance,Insurance - Property and Casualty,17,10,3,7230.0,7326.0,7347.6,7349.76,7349.98,7350.0,0.0,10__0
ACIW,Computer and Technology,Computer - Software,2,5,3,5130.2,5198.84,5214.28,5215.83,5215.98,5216.0,0.0,5__0
ACLS,Computer and Technology,Electronics - Manufacturing Machinery,329,25,2,38619.0,113942.6,233964.15,247496.42,248849.64,248984.96,0.0,25__0
ACLX,Medical,Medical - Biomedical and Genetics,223,25,2,168000.0,240000.0,448940.0,494894.0,499489.4,499948.94,2.0,25__2
ACM,Construction,Engineering - R and D Services,37,15,3,9721.0,24837.0,32183.7,32918.37,32991.84,32999.18,0.0,15__0
ACMR,Computer and Technology,Semiconductor Equipment - Material Services,490,25,2,23416.5,48036.96,67034.2,72403.42,72940.34,72994.03,0.0,25__0
ACN,Computer and Technology,Computers - IT Services,4048,35,2,19925.5,52967.7,240813.85,671906.0,679190.6,679919.06,0.0,35__0
ACNT,Industrial Products,Manufacturing - General Industrial ,1,0,3,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,2.0,0__2
ACRS,Medical,Medical - Drugs,4,5,3,4820.0,4964.0,4996.4,4999.64,4999.96,5000.0,0.0,5__0
ACVA,Retail-Wholesale,Internet - Commerce,57,20,2,16260.0,104704.4,121530.44,123213.04,123381.3,123398.13,0.0,20__0
ADBE,Computer and Technology,Computer - Software,47204,45,1,25500.0,70203.7,252453.75,942194.05,1652405.13,1694745.51,1.0,45__1
ADC,Finance,REIT and Equity Trust - Retail,4,5,3,6811.0,6962.2,6996.22,6999.62,6999.96,7000.0,0.0,5__0
ADCT,Medical,Medical - Biomedical and Genetics,1,0,3,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,2.0,0__2
ADI,Computer and Technology,Semiconductor - Analog and Mixed,2514,35,2,34823.25,90978.75,368288.22,452128.43,461012.84,461901.28,1.0,35__1
ADM,Consumer Staples,Agriculture - Operations,327,25,2,16541.1,79134.92,363161.02,425116.1,431311.61,431931.16,0.0,25__0
ADMA,Medical,Medical - Biomedical and Genetics,313,25,2,50000.0,388766.4,660559.58,668574.46,669375.95,669456.09,2.0,25__2
ADNT,Auto-Tires-Trucks,Automotive - Original Equipment,12,10,3,12745.15,12757.03,12759.7,12759.97,12760.0,12760.0,0.0,10__0
ADP,Computer and Technology,Internet - Software,510,25,2,20169.5,60088.44,155476.05,166747.61,167874.76,167987.48,0.0,25__0
ADSK,Computer and Technology,Internet - Software,4163,35,2,21223.5,51789.84,184574.91,344365.15,413381.52,420283.15,0.0,35__0
ADT,Industrial Products,Security and Safety Services,13,10,3,17840.0,17840.0,17840.0,17840.0,17840.0,17840.0,0.0,10__0
ADTN,Business Services,Technology Services,14,10,3,13126.75,13909.35,14085.44,14103.04,14104.8,14104.98,0.0,10__0
ADUS,Medical,Medical - Outpatient and Home Healthcare,39,15,3,11463.0,19650.0,22215.0,22471.5,22497.15,22499.71,0.0,15__0
AEE,Utilities,Utility - Electric Power,43,15,3,16011.9,19227.6,19783.26,19838.83,19844.38,19844.94,0.0,15__0
AEHR,Computer and Technology,Electronics - Measuring Instruments,175,20,2,11254.5,18399.9,25361.82,25999.18,26062.92,26069.29,0.0,20__0
AEIS,Computer and Technology,Semiconductor Equipment - Wafer Fabrication,136,20,2,36675.0,243124.5,456358.05,484493.81,487307.38,487588.74,3.0,20__3
AEM,Basic Materials,Mining - Gold,1875,35,2,20763.0,77561.3,320174.0,1676893.75,1949600.28,1976870.93,2.0,35__2
AEO,Retail-Wholesale,Retail - Apparel and Shoes,372,25,2,27075.6,182250.0,230151.74,246157.57,247758.16,247918.22,0.0,25__0
AEP,Utilities,Utility - Electric Power,240,25,2,24586.75,126338.51,153431.28,154825.13,154964.51,154978.45,0.0,25__0
AER,Transportation,Transportation - Equipment and Leasing,239,25,2,31900.5,210004.44,302505.0,313750.5,314875.05,314987.51,0.0,25__0
AES,Utilities,Utility - Electric Power,525,25,2,31455.0,92500.0,167956.35,196795.64,199679.56,199967.96,0.0,25__0
AESI,Oils-Energy,Oil and Gas - Integrated - United States,16,10,3,8125.0,9625.0,9962.5,9996.25,9999.63,9999.96,0.0,10__0
AEVA,Auto-Tires-Trucks,Automotive - Original Equipment,34,15,3,55575.0,68256.2,69699.62,69843.96,69858.4,69859.84,0.0,15__0
AEYE,Computer and Technology,Internet - Software,22,15,3,12037.75,15177.81,15903.38,15975.94,15983.19,15983.92,0.0,15__0
AFG,Finance,Insurance - Property and Casualty,1,0,3,3750.0,3750.0,3750.0,3750.0,3750.0,3750.0,2.0,0__2
AFL,Finance,Insurance - Accident and Health,203,25,2,31639.9,135297.5,175555.95,181378.1,181960.31,182018.53,0.0,25__0
AFRM,Computer and Technology,Internet - Software,20629,45,1,25800.0,66948.48,494034.0,4317756.0,4545000.0,4545000.0,2.0,45__2
AFYA,Consumer Discretionary,Schools,1,0,3,3700.0,3700.0,3700.0,3700.0,3700.0,3700.0,2.0,0__2
AG,Basic Materials,Mining - Silver,295,25,2,15060.0,33233.88,47294.2,47479.42,47497.94,47499.79,0.0,25__0
AGCO,Industrial Products,Manufacturing - Farm Equipment,26,15,3,29745.0,51765.0,58096.5,58729.65,58792.97,58799.3,0.0,15__0
AGEN,Medical,Medical - Biomedical and Genetics,45,15,3,10144.0,13952.0,14625.2,14692.52,14699.25,14699.93,0.0,15__0
AGI,Basic Materials,Mining - Gold,152,20,2,14490.0,24725.0,35245.61,36725.56,36873.56,36888.36,0.0,20__0
AGIO,Medical,Medical - Biomedical and Genetics,28,15,3,52350.0,88930.0,98893.0,99889.3,99988.93,99998.89,0.0,15__0
AGL,Medical,Medical Services,11,10,3,38995.0,55799.0,59579.9,59957.99,59995.8,59999.58,0.0,10__0
AGM,Finance,Financial - Mortgage & Related Services,2,5,3,14410.0,14882.0,14988.2,14998.82,14999.88,14999.99,3.0,5__3
AGNC,Finance,REIT and Equity Trust,379,25,2,34993.0,92200.0,116220.0,119622.0,119962.2,119996.22,0.0,25__0
AGO,Finance,Insurance - Multi line,42,15,3,9019.0,155722.1,240293.21,248750.32,249596.03,249680.6,0.0,15__0
AGRO,Consumer Staples,Agriculture - Operations,7,10,3,17400.0,21816.0,22809.6,22908.96,22918.9,22919.89,0.0,10__0
AGX,Construction,Building Products - Miscellaneous,460,25,2,22503.0,42410.0,159641.5,213964.15,219396.41,219939.64,0.0,25__0
AGYS,Computer and Technology,Computer - Integrated Systems,16,10,3,17350.0,29230.0,31903.0,32170.3,32197.03,32199.7,0.0,10__0
AHCO,Medical,Medical - Products,5,5,3,13468.0,13781.6,13852.16,13859.22,13859.92,13859.99,0.0,5__0
AHR,Finance,REIT and Equity Trust - Other,2,5,3,10336.25,10567.25,10619.23,10624.42,10624.94,10624.99,0.0,5__0
AHT,Finance,REIT and Equity Trust - Other,1,0,3,3700.0,3700.0,3700.0,3700.0,3700.0,3700.0,2.0,0__2
AI,Computer and Technology,Computers - IT Services,7857,40,2,39200.0,325000.0,1248621.12,2362375.52,2453972.55,2463132.26,2.0,40__2
AIG,Finance,Insurance - Multi line,758,30,2,21462.75,38466.75,143611.77,201106.68,206856.17,207431.12,2.0,30__2
AIOT,Transportation,Transportation - Services,22,15,3,89526.0,107775.0,112027.5,112452.75,112495.28,112499.53,0.0,15__0
AIP,Computer and Technology,Internet - Software,9,10,3,11376.0,11843.2,11948.32,11958.83,11959.88,11959.99,0.0,10__0
AIR,Aerospace,Aerospace - Defense Equipment,37,15,3,9140.0,11371.2,12369.12,12468.91,12478.89,12479.89,0.0,15__0
