security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,max_trade_value,min_trade_value,itm_total,total,itm_pct,itm_threshold,ab,itm_running_total,running_total,itm_running_pct
ABNB,Consumer Discretionary,Leisure and Recreation Services,40__0,40,0.0,1. p999999_trade_value,1302500.0,1302500.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
ABNB,Consumer Discretionary,Leisure and Recreation Services,40__0,40,0.0,4. p999_trade_value,755450.0,360580.0,7.0,9.0,0.7777777777777778,0.55,1. ABOVE BASELINE,8.0,10.0,0.8
ABNB,Consumer Discretionary,Leisure and Recreation Services,40__0,40,0.0,5. p99_trade_value,358688.0,118580.0,39.0,84.0,0.4642857142857143,0.55,2. BELOW BASELINE,47.0,94.0,0.5
ABNB,Consumer Discretionary,Leisure and Recreation Services,40__0,40,0.0,6. p95_trade_value,118275.0,27450.0,209.0,373.0,0.5603217158176944,0.55,2. BELOW BASELINE,256.0,467.0,0.5481798715203426
ABNB,Consumer Discretionary,Leisure and Recreation Services,40__0,40,0.0,7. p90_trade_value,27400.0,16800.0,266.0,467.0,0.569593147751606,0.55,2. BELOW BASELINE,522.0,934.0,0.5588865096359743
ABNB,Consumer Discretionary,Leisure and Recreation Services,40__0,40,0.0,8. p75_trade_value,16770.0,8610.0,784.0,1398.0,0.5608011444921316,0.55,2. BELOW BASELINE,1306.0,2332.0,0.5600343053173242
AFYA,Consumer Discretionary,Schools,0__0,0,0.0,1. p999999_trade_value,3700.0,3700.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
ALTO,Consumer Discretionary,Consumer Products - Discretionary,5__0,5,0.0,1. p999999_trade_value,7455.0,7455.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
AMC,Consumer Discretionary,Leisure and Recreation Services,35__0,35,0.0,1. p999999_trade_value,89240.00000000001,89240.00000000001,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
AMC,Consumer Discretionary,Leisure and Recreation Services,35__0,35,0.0,4. p999_trade_value,62972.0,62192.00000000001,1.0,2.0,0.5,0.55,2. BELOW BASELINE,1.0,3.0,0.3333333333333333
AMC,Consumer Discretionary,Leisure and Recreation Services,35__0,35,0.0,5. p99_trade_value,59049.0,25542.0,5.0,19.0,0.2631578947368421,0.55,2. BELOW BASELINE,6.0,22.0,0.2727272727272727
AMC,Consumer Discretionary,Leisure and Recreation Services,35__0,35,0.0,6. p95_trade_value,25164.0,13437.0,32.0,88.0,0.36363636363636365,0.55,2. BELOW BASELINE,38.0,110.0,0.34545454545454546
AMC,Consumer Discretionary,Leisure and Recreation Services,35__0,35,0.0,7. p90_trade_value,13392.000000000002,9700.0,38.0,110.0,0.34545454545454546,0.55,2. BELOW BASELINE,76.0,220.0,0.34545454545454546
AMC,Consumer Discretionary,Leisure and Recreation Services,35__0,35,0.0,8. p75_trade_value,9652.0,6096.0,110.0,330.0,0.3333333333333333,0.55,2. BELOW BASELINE,186.0,550.0,0.3381818181818182
AMCX,Consumer Discretionary,Broadcast Radio and Television,10__0,10,0.0,1. p999999_trade_value,7250.0,7250.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
AMCX,Consumer Discretionary,Broadcast Radio and Television,10__0,10,0.0,8. p75_trade_value,5160.0,5160.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,2.0,2.0,1.0
AMRK,Consumer Discretionary,Precious Metals and Jewels,20__0,20,0.0,1. p999999_trade_value,260000.0,260000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
AMRK,Consumer Discretionary,Precious Metals and Jewels,20__0,20,0.0,5. p99_trade_value,67425.0,67425.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,2.0,2.0,1.0
AMRK,Consumer Discretionary,Precious Metals and Jewels,20__0,20,0.0,6. p95_trade_value,25935.000000000004,16500.0,4.0,5.0,0.8,0.55,1. ABOVE BASELINE,6.0,7.0,0.8571428571428571
AMRK,Consumer Discretionary,Precious Metals and Jewels,20__0,20,0.0,7. p90_trade_value,16000.0,13000.0,5.0,7.0,0.7142857142857143,0.55,1. ABOVE BASELINE,11.0,14.0,0.7857142857142857
AMRK,Consumer Discretionary,Precious Metals and Jewels,20__0,20,0.0,8. p75_trade_value,12580.0,6572.0,13.0,20.0,0.65,0.55,1. ABOVE BASELINE,24.0,34.0,0.7058823529411765
AMWD,Consumer Discretionary,Furniture,10__0,10,0.0,1. p999999_trade_value,18000.0,18000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
AMWD,Consumer Discretionary,Furniture,10__0,10,0.0,8. p75_trade_value,15480.000000000002,15480.000000000002,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,2.0,0.0
AS,Consumer Discretionary,Leisure and Recreation Products,20__0,20,0.0,1. p999999_trade_value,208425.0,208425.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
AS,Consumer Discretionary,Leisure and Recreation Products,20__0,20,0.0,5. p99_trade_value,175000.0,175000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,1.0,2.0,0.5
AS,Consumer Discretionary,Leisure and Recreation Products,20__0,20,0.0,6. p95_trade_value,166250.0,47500.0,4.0,5.0,0.8,0.55,2. BELOW BASELINE,5.0,7.0,0.7142857142857143
AS,Consumer Discretionary,Leisure and Recreation Products,20__0,20,0.0,7. p90_trade_value,45000.0,20130.0,1.0,6.0,0.16666666666666666,0.55,2. BELOW BASELINE,6.0,13.0,0.46153846153846156
AS,Consumer Discretionary,Leisure and Recreation Products,20__0,20,0.0,8. p75_trade_value,20020.0,11700.0,7.0,18.0,0.3888888888888889,0.55,2. BELOW BASELINE,13.0,31.0,0.41935483870967744
ASO,Consumer Discretionary,Leisure and Recreation Products,25__1,25,1.0,1. p999999_trade_value,361760.00000000006,361760.00000000006,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
ASO,Consumer Discretionary,Leisure and Recreation Products,25__1,25,1.0,5. p99_trade_value,276000.0,168000.0,2.0,5.0,0.4,0.55,2. BELOW BASELINE,3.0,6.0,0.5
ASO,Consumer Discretionary,Leisure and Recreation Products,25__1,25,1.0,6. p95_trade_value,115767.99999999999,40754.99999999999,9.0,22.0,0.4090909090909091,0.55,2. BELOW BASELINE,12.0,28.0,0.42857142857142855
ASO,Consumer Discretionary,Leisure and Recreation Products,25__1,25,1.0,7. p90_trade_value,40179.99999999999,22000.0,17.0,28.0,0.6071428571428571,0.55,2. BELOW BASELINE,29.0,56.0,0.5178571428571429
ASO,Consumer Discretionary,Leisure and Recreation Products,25__1,25,1.0,8. p75_trade_value,21600.0,9430.0,55.0,84.0,0.6547619047619048,0.55,2. BELOW BASELINE,84.0,140.0,0.6
ATAT,Consumer Discretionary,Leisure and Recreation Services,15__0,15,0.0,1. p999999_trade_value,88740.0,88740.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
ATAT,Consumer Discretionary,Leisure and Recreation Services,15__0,15,0.0,6. p95_trade_value,50575.0,50575.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,2.0,0.0
ATAT,Consumer Discretionary,Leisure and Recreation Services,15__0,15,0.0,7. p90_trade_value,19000.0,18000.0,0.0,2.0,0.0,0.55,2. BELOW BASELINE,0.0,4.0,0.0
ATAT,Consumer Discretionary,Leisure and Recreation Services,15__0,15,0.0,8. p75_trade_value,16467.0,13500.0,2.0,5.0,0.4,0.55,2. BELOW BASELINE,2.0,9.0,0.2222222222222222
ATGE,Consumer Discretionary,Schools,20__1,20,1.0,1. p999999_trade_value,519480.0,519480.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
ATGE,Consumer Discretionary,Schools,20__1,20,1.0,5. p99_trade_value,442500.0,442500.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,2.0,0.0
ATGE,Consumer Discretionary,Schools,20__1,20,1.0,6. p95_trade_value,249750.0,76800.0,4.0,4.0,1.0,0.55,2. BELOW BASELINE,4.0,6.0,0.6666666666666666
ATGE,Consumer Discretionary,Schools,20__1,20,1.0,7. p90_trade_value,75000.0,25000.0,0.0,5.0,0.0,0.55,2. BELOW BASELINE,4.0,11.0,0.36363636363636365
ATGE,Consumer Discretionary,Schools,20__1,20,1.0,8. p75_trade_value,21000.0,8000.0,9.0,15.0,0.6,0.55,2. BELOW BASELINE,13.0,26.0,0.5
BARK,Consumer Discretionary,Consumer Services - Miscellaneous,0__0,0,0.0,1. p999999_trade_value,5000.0,5000.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
BATRK,Consumer Discretionary,Media Conglomerates,0__0,0,0.0,1. p999999_trade_value,3660.0,3660.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
BC,Consumer Discretionary,Leisure and Recreation Products,15__0,15,0.0,1. p999999_trade_value,100500.0,100500.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
BC,Consumer Discretionary,Leisure and Recreation Products,15__0,15,0.0,6. p95_trade_value,39750.0,39750.0,2.0,2.0,1.0,0.55,1. ABOVE BASELINE,3.0,3.0,1.0
BC,Consumer Discretionary,Leisure and Recreation Products,15__0,15,0.0,7. p90_trade_value,38400.0,38400.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,4.0,4.0,1.0
BC,Consumer Discretionary,Leisure and Recreation Products,15__0,15,0.0,8. p75_trade_value,18750.0,10140.0,1.0,5.0,0.2,0.55,2. BELOW BASELINE,5.0,9.0,0.5555555555555556
BILI,Consumer Discretionary,Broadcast Radio and Television,35__3,35,3.0,1. p999999_trade_value,1188000.0,1188000.0,1.0,1.0,1.0,0.55,2. BELOW BASELINE,1.0,1.0,1.0
BILI,Consumer Discretionary,Broadcast Radio and Television,35__3,35,3.0,4. p999_trade_value,860000.0,407550.00000000006,0.0,3.0,0.0,0.55,2. BELOW BASELINE,1.0,4.0,0.25
BILI,Consumer Discretionary,Broadcast Radio and Television,35__3,35,3.0,5. p99_trade_value,359910.0,99950.0,7.0,36.0,0.19444444444444445,0.55,2. BELOW BASELINE,8.0,40.0,0.2
BILI,Consumer Discretionary,Broadcast Radio and Television,35__3,35,3.0,6. p95_trade_value,99584.0,27927.0,55.0,158.0,0.34810126582278483,0.55,2. BELOW BASELINE,63.0,198.0,0.3181818181818182
BILI,Consumer Discretionary,Broadcast Radio and Television,35__3,35,3.0,7. p90_trade_value,27900.0,17290.0,97.0,197.0,0.49238578680203043,0.55,2. BELOW BASELINE,160.0,395.0,0.4050632911392405
BILI,Consumer Discretionary,Broadcast Radio and Television,35__3,35,3.0,8. p75_trade_value,17280.0,8711.999999999998,317.0,591.0,0.5363790186125211,0.55,2. BELOW BASELINE,477.0,986.0,0.48377281947261663
BIRK,Consumer Discretionary,Shoes and Retail Apparel ,25__0,25,0.0,1. p999999_trade_value,405000.00000000006,405000.00000000006,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
BIRK,Consumer Discretionary,Shoes and Retail Apparel ,25__0,25,0.0,5. p99_trade_value,240000.0,192942.0,0.0,3.0,0.0,0.55,2. BELOW BASELINE,1.0,4.0,0.25
BIRK,Consumer Discretionary,Shoes and Retail Apparel ,25__0,25,0.0,6. p95_trade_value,189000.0,69600.0,2.0,15.0,0.13333333333333333,0.55,2. BELOW BASELINE,3.0,19.0,0.15789473684210525
BIRK,Consumer Discretionary,Shoes and Retail Apparel ,25__0,25,0.0,7. p90_trade_value,68750.0,31437.0,7.0,19.0,0.3684210526315789,0.55,2. BELOW BASELINE,10.0,38.0,0.2631578947368421
BIRK,Consumer Discretionary,Shoes and Retail Apparel ,25__0,25,0.0,8. p75_trade_value,30525.0,9900.0,22.0,57.0,0.38596491228070173,0.55,2. BELOW BASELINE,32.0,95.0,0.3368421052631579
BNED,Consumer Discretionary,Consumer Products - Discretionary,10__0,10,0.0,1. p999999_trade_value,43224.0,43224.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,1.0,0.0
BNED,Consumer Discretionary,Consumer Products - Discretionary,10__0,10,0.0,7. p90_trade_value,30000.0,30000.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,2.0,0.0
BNED,Consumer Discretionary,Consumer Products - Discretionary,10__0,10,0.0,8. p75_trade_value,22260.0,22260.0,0.0,1.0,0.0,0.55,2. BELOW BASELINE,0.0,3.0,0.0
BYD,Consumer Discretionary,Gaming,20__1,20,1.0,1. p999999_trade_value,277992.0,277992.0,1.0,1.0,1.0,0.55,1. ABOVE BASELINE,1.0,1.0,1.0
